id;name;personal_category;login;personal_target;unspecific_target;personal_description;rating_source;data_reasonable;secure_transmission;rater;influence_key;archetype;privacy_index;privacy_index_confidence
10955;Health Tips 1000;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;;6;0.19999999999999996
12029;Instant Heart Rate - Heart Rate Monitor by Azumio Free;vital values;false;;analytics,advertisers / marketeers;true;app downloaded,http proxy;true;;thomas;unspecific_target;;13;0.8
12357;Lexicomp;medication intake;true;app provider,advertisers / marketeers,research projects;;false;app downloaded,http proxy,privacy policy;true;true;thomas;personal_target;2;59;0.9
12442;Legal Maps;;false;;;false;description,screenshots;;;thomas;;2;0;0.9
12757;Marijuana Handbook Lite;;false;;;false;description,screenshots;;;thomas;;2;0;0.9
13523;Medscape;address,life status specs,medication intake;true;app provider,advertisers / marketeers,research projects;analytics,advertisers / marketeers;false;app downloaded,http proxy,privacy policy;;true;thomas;personal_target;2;74;0.9
13632;Mental Illness;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;3;6;0.19999999999999996
13760;Mind Tricks;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;;6;0.19999999999999996
14188;Medical Encyclopedia;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;2;6;0.19999999999999996
14732;Nursing Central;;true;;;false;app downloaded,http proxy;;;thomas;;3;0;0.19999999999999996
14910;My Baby Today;body specs,life status specs;true;app provider;analytics,advertisers / marketeers;true;app downloaded,http proxy;true;false;thomas;security;;53;0.8
15019;"Monthly Cycles - Period Tracker, Menstrual Calendar &amp; Ovulation / Fertility Diary";body specs,symptoms,life status specs;false;app provider;analytics,advertisers / marketeers;true;app downloaded,http proxy;true;true;thomas;category;9;30;0.8
15277;My Pregnancy Today;;true;;analytics,advertisers / marketeers;false;app downloaded,http proxy;;false;thomas;login_required;;20;0.8
15318;My Cycles Period and Ovulation Tracker;life status specs,address;true;app provider;analytics,advertisers / marketeers;true;app downloaded,http proxy;false;true;thomas;login_required;9;47;0.8
15469;Period Tracker (Pink Pad Free);life status specs;true;app provider,advertisers / marketeers;analytics,advertisers / marketeers;true;app downloaded,http proxy,privacy policy;true;false;thomas;personal_target;9;72;0.9
15851;Phobias;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;3;6;0.19999999999999996
15994;Orasphere;;false;;;false;description,screenshots;;;thomas;;;0;0.19999999999999996
16386;Relax Completely;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;1;6;0.19999999999999996
16388;Relax Dream;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;3;6;0.19999999999999996
16412;Relax with Andrew Johnson Lite;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;2;6;0.19999999999999996
16414;Relax Waterfall;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;3;6;0.19999999999999996
16432;Relax Ocean Waves;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;3;6;0.19999999999999996
16437;Relax Raindrops;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;3;6;0.19999999999999996
16438;Relax Peace;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;3;6;0.19999999999999996
16792;ReachMD CME;unknown;true;unknown;;false;description,screenshots;;;thomas;personal_target;;75;0.19999999999999996
16895;Prognosis : Your Diagnosis;symptoms;true;app provider;advertisers / marketeers;false;app downloaded,http proxy;true;false;thomas;security;;50;0.8
17006;PubMed On Tap Lite;;false;;analytics;false;app downloaded,http proxy;;;thomas;unspecific_target;5;6;0.8
